ticker,open_time,close_time,open_price,close_price,outcome($),duration(minutes),side,closing_reason
EURUSD,1547812980,1547829900,1.14009,1.13643,3.54,282.0,SELL,signal_opposite
EURUSD,1547829900,1547842440,1.13643,1.13638,-0.17,209.0,BUY,signal_opposite
EURUSD,1547842440,1548022980,1.13638,1.13657,-0.41,3009.0,SELL,signal_opposite
EURUSD,1548022980,1548039600,1.13657,1.13758,0.84,277.0,BUY,signal_opposite
EURUSD,1548039600,1548046680,1.13758,1.13768,-0.22,118.0,SELL,signal_opposite
EURUSD,1548046680,1548059700,1.13768,1.13748,-0.32,217.0,BUY,signal_opposite
EURUSD,1548059700,1548066180,1.13748,1.13767,-0.31,108.0,SELL,signal_opposite
EURUSD,1548066180,1548068460,1.13767,1.13738,-0.41,38.0,BUY,signal_opposite
EURUSD,1548068460,1548081600,1.13738,1.1364,0.86,219.0,SELL,signal_opposite
EURUSD,1548081600,1548084600,1.1364,1.13589,-0.63,50.0,BUY,signal_opposite
EURUSD,1548084600,1548096780,1.13589,1.13674,-0.97,203.0,SELL,signal_opposite
EURUSD,1548096780,1548107040,1.13674,1.1366,-0.26,171.0,BUY,signal_opposite
EURUSD,1548107040,1548111180,1.1366,1.13699,-0.51,69.0,SELL,signal_opposite
EURUSD,1548111180,1548128220,1.13699,1.13656,-0.6,284.0,BUY,signal_opposite
EURUSD,1548128220,1548135960,1.13656,1.13605,0.39,129.0,SELL,signal_opposite
EURUSD,1548135960,1548138180,1.13605,1.13505,-1.12,37.0,BUY,signal_opposite
EURUSD,1548138180,1548144720,1.13505,1.136,-1.07,109.0,SELL,signal_opposite
EURUSD,1548144720,1548158400,1.136,1.13566,-0.46,228.0,BUY,signal_opposite
EURUSD,1548158400,1548167760,1.13566,1.1352,0.34,156.0,SELL,signal_opposite
EURUSD,1548167760,1548190740,1.1352,1.13521,-0.11,383.0,BUY,signal_opposite
EURUSD,1548190740,1548207120,1.13521,1.13654,-1.5,273.0,SELL,signal_opposite
EURUSD,1548207120,1548228120,1.13654,1.13654,-0.12,350.0,BUY,signal_opposite
EURUSD,1548228120,1548241620,1.13654,1.13628,0.14,225.0,SELL,signal_opposite
EURUSD,1548241620,1548250440,1.13628,1.13597,-0.43,147.0,BUY,signal_opposite
EURUSD,1548250440,1548257820,1.13597,1.13789,-2.04,123.0,SELL,signal_opposite
EURUSD,1548257820,1548272640,1.13789,1.13838,0.37,247.0,BUY,signal_opposite
EURUSD,1548272640,1548287460,1.13838,1.13854,-0.28,247.0,SELL,signal_opposite
EURUSD,1548287460,1548295320,1.13854,1.13847,-0.24,131.0,BUY,signal_opposite
EURUSD,1548295320,1548298980,1.13847,1.13883,-0.48,61.0,SELL,signal_opposite
EURUSD,1548298980,1548305400,1.13883,1.13843,-0.52,107.0,BUY,signal_opposite
EURUSD,1548305400,1548310260,1.13843,1.13876,-0.45,81.0,SELL,signal_opposite
EURUSD,1548310260,1548311520,1.13876,1.13819,-0.69,21.0,BUY,signal_opposite
EURUSD,1548311520,1548332400,1.13819,1.13521,2.86,348.0,SELL,signal_opposite
EURUSD,1548332400,1548336720,1.13521,1.13207,-3.26,72.0,BUY,signal_opposite
EURUSD,1548336720,1548338760,1.13207,1.13587,-3.92,34.0,SELL,signal_opposite
EURUSD,1548338760,1548344700,1.13587,1.13568,-0.31,99.0,BUY,signal_opposite
EURUSD,1548344700,1548364440,1.13568,1.13115,4.41,329.0,SELL,signal_opposite
EURUSD,1548364440,1548365940,1.13115,1.13063,-0.64,25.0,BUY,signal_opposite
EURUSD,1548365940,1548373620,1.13063,1.13097,-0.46,128.0,SELL,signal_opposite
EURUSD,1548373620,1548391560,1.13097,1.13184,0.7,299.0,BUY,signal_opposite
EURUSD,1548391560,1548394200,1.13184,1.13256,-0.84,44.0,SELL,signal_opposite
EURUSD,1548394200,1548396060,1.13256,1.13203,-0.65,31.0,BUY,signal_opposite
EURUSD,1548396060,1548415500,1.13203,1.13458,-2.67,324.0,SELL,signal_opposite
EURUSD,1548415500,1548420480,1.13458,1.1342,-0.5,83.0,BUY,signal_opposite
EURUSD,1548420480,1548423180,1.1342,1.13548,-1.4,45.0,SELL,signal_opposite
EURUSD,1548423180,1548445260,1.13548,1.14039,4.79,368.0,BUY,signal_opposite
EURUSD,1548445260,1548447780,1.14039,1.14164,-1.37,42.0,SELL,signal_opposite
EURUSD,1548447780,1548452700,1.14164,1.14095,-0.81,82.0,BUY,signal_opposite
EURUSD,1548452700,1548453480,1.14095,1.14051,0.32,13.0,SELL,issue_with_data
EURUSD,1548628800,1548629580,1.14095,1.14086,-0.21,13.0,BUY,issue_with_data
EURUSD,1548634080,1548641940,1.14149,1.14109,-0.52,131.0,BUY,signal_opposite
EURUSD,1548641940,1548646380,1.14109,1.14148,-0.51,74.0,SELL,signal_opposite
EURUSD,1548646380,1548651540,1.14148,1.14186,0.26,86.0,BUY,signal_opposite
EURUSD,1548651540,1548666540,1.14186,1.14063,1.11,250.0,SELL,signal_opposite
EURUSD,1548666540,1548676680,1.14063,1.14063,-0.12,169.0,BUY,signal_opposite
EURUSD,1548676680,1548679680,1.14063,1.14185,-1.34,50.0,SELL,signal_opposite
EURUSD,1548679680,1548685200,1.14185,1.14089,-1.08,92.0,BUY,signal_opposite
EURUSD,1548685200,1548686700,1.14089,1.14216,-1.39,25.0,SELL,signal_opposite
EURUSD,1548686700,1548695280,1.14216,1.14328,1.0,143.0,BUY,signal_opposite
EURUSD,1548695280,1548718140,1.14328,1.14305,0.11,381.0,SELL,signal_opposite
EURUSD,1548718140,1548721380,1.14305,1.14269,-0.53,54.0,BUY,signal_opposite
EURUSD,1548721380,1548727080,1.14269,1.14256,0.01,95.0,SELL,signal_opposite
EURUSD,1548727080,1548740700,1.14256,1.14281,0.13,227.0,BUY,signal_opposite
EURUSD,1548740700,1548741720,1.14281,1.14341,-0.72,17.0,SELL,signal_opposite
EURUSD,1548741720,1548745320,1.14341,1.14321,-0.32,60.0,BUY,signal_opposite
EURUSD,1548745320,1548746280,1.14321,1.14408,-0.99,16.0,SELL,signal_opposite
EURUSD,1548746280,1548766500,1.14408,1.14228,-1.92,337.0,BUY,signal_opposite
EURUSD,1548766500,1548779400,1.14228,1.14338,-1.22,215.0,SELL,signal_opposite
EURUSD,1548779400,1548797820,1.14338,1.14309,-0.41,307.0,BUY,signal_opposite
EURUSD,1548797820,1548812400,1.14309,1.14388,-0.96,243.0,SELL,signal_opposite
EURUSD,1548812400,1548820860,1.14388,1.14356,-0.44,141.0,BUY,signal_opposite
EURUSD,1548820860,1548821460,1.14356,1.14402,-0.58,10.0,SELL,signal_opposite
EURUSD,1548821460,1548824580,1.14402,1.14385,-0.29,52.0,BUY,signal_opposite
EURUSD,1548824580,1548826500,1.14385,1.14412,-0.39,32.0,SELL,signal_opposite
EURUSD,1548826500,1548831480,1.14412,1.14364,-0.6,83.0,BUY,signal_opposite
EURUSD,1548831480,1548836880,1.14364,1.14395,-0.43,90.0,SELL,signal_opposite
EURUSD,1548836880,1548838260,1.14395,1.14294,-1.13,23.0,BUY,signal_opposite
EURUSD,1548838260,1548863100,1.14294,1.14234,0.48,414.0,SELL,signal_opposite
EURUSD,1548863100,1548867840,1.14234,1.14129,-1.17,79.0,BUY,signal_opposite
EURUSD,1548867840,1548870420,1.14129,1.14227,-1.1,43.0,SELL,signal_opposite
EURUSD,1548870420,1548871260,1.14227,1.14158,-0.81,14.0,BUY,signal_opposite
EURUSD,1548871260,1548874800,1.14158,1.14568,-4.22,59.0,SELL,signal_opposite
EURUSD,1548874800,1548892500,1.14568,1.1484,2.6,295.0,BUY,signal_opposite
EURUSD,1548892500,1548893100,1.1484,1.14908,-0.85,10.0,SELL,signal_opposite
EURUSD,1548893100,1548895380,1.14908,1.14877,-0.43,38.0,BUY,signal_opposite
EURUSD,1548895380,1548902940,1.14877,1.14977,-1.12,126.0,SELL,signal_opposite
EURUSD,1548902940,1548915000,1.14977,1.14999,0.1,201.0,BUY,signal_opposite
EURUSD,1548915000,1548919560,1.14999,1.15069,-0.82,76.0,SELL,signal_opposite
EURUSD,1548919560,1548921420,1.15069,1.14996,-0.86,31.0,BUY,signal_opposite
EURUSD,1548921420,1548933180,1.14996,1.14823,1.61,196.0,SELL,signal_opposite
EURUSD,1548933180,1548943800,1.14823,1.14824,-0.11,177.0,BUY,signal_opposite
EURUSD,1548943800,1548948480,1.14824,1.14844,-0.32,78.0,SELL,signal_opposite
EURUSD,1548948480,1548950220,1.14844,1.14718,-1.38,29.0,BUY,signal_opposite
EURUSD,1548950220,1548957540,1.14718,1.14496,2.1,122.0,SELL,signal_opposite
EURUSD,1548957540,1548973500,1.14496,1.14449,-0.59,266.0,BUY,signal_opposite
EURUSD,1548973500,1548979140,1.14449,1.14478,-0.41,94.0,SELL,signal_opposite
EURUSD,1548979140,1548984420,1.14478,1.14436,-0.59,88.0,BUY,signal_opposite
EURUSD,1548984420,1548991020,1.14436,1.14441,-0.17,110.0,SELL,signal_opposite
EURUSD,1548991020,1548993600,1.14441,1.14412,-0.41,43.0,BUY,signal_opposite
EURUSD,1548993600,1549004580,1.14412,1.1445,-0.5,183.0,SELL,signal_opposite
EURUSD,1549004580,1549022760,1.1445,1.14657,1.95,303.0,BUY,signal_opposite
EURUSD,1549022760,1549028760,1.14657,1.14837,-1.92,100.0,SELL,signal_opposite
EURUSD,1549028760,1549033380,1.14837,1.14579,-2.7,77.0,BUY,signal_opposite
EURUSD,1549033380,1549036620,1.14579,1.14665,-0.98,54.0,SELL,signal_opposite
EURUSD,1549036620,1549044360,1.14665,1.14647,-0.3,129.0,BUY,signal_opposite
EURUSD,1549044360,1549050240,1.14647,1.14611,0.24,98.0,SELL,signal_opposite
EURUSD,1549050240,1549054980,1.14611,1.14573,-0.5,79.0,BUY,signal_opposite
EURUSD,1549054980,1549234620,1.14573,1.14555,-0.04,2994.0,SELL,signal_opposite
EURUSD,1549234620,1549248240,1.14555,1.1454,-0.32,227.0,BUY,signal_opposite
EURUSD,1549248240,1549267740,1.1454,1.14502,0.26,325.0,SELL,signal_opposite
EURUSD,1549267740,1549272600,1.14502,1.14437,-0.77,81.0,BUY,signal_opposite
EURUSD,1549272600,1549281240,1.14437,1.14533,-1.08,144.0,SELL,signal_opposite
EURUSD,1549281240,1549283760,1.14533,1.14453,-0.92,42.0,BUY,signal_opposite
EURUSD,1549283760,1549287000,1.14453,1.14494,-0.53,54.0,SELL,signal_opposite
EURUSD,1549287000,1549289160,1.14494,1.14411,-0.95,36.0,BUY,signal_opposite
EURUSD,1549289160,1549299300,1.14411,1.14335,0.64,169.0,SELL,signal_opposite
EURUSD,1549299300,1549302840,1.14335,1.14293,-0.54,59.0,BUY,signal_opposite
EURUSD,1549302840,1549314960,1.14293,1.14356,-0.75,202.0,SELL,signal_opposite
EURUSD,1549314960,1549347000,1.14356,1.14292,-0.81,534.0,BUY,signal_opposite
EURUSD,1549347000,1549357560,1.14292,1.1419,0.9,176.0,SELL,signal_opposite
EURUSD,1549357560,1549377720,1.1419,1.14205,0.03,336.0,BUY,signal_opposite
EURUSD,1549377720,1549389660,1.14205,1.14124,0.69,199.0,SELL,signal_opposite
EURUSD,1549389660,1549402380,1.14124,1.14047,-0.89,212.0,BUY,signal_opposite
EURUSD,1549402380,1549409580,1.14047,1.14071,-0.36,120.0,SELL,signal_opposite
EURUSD,1549409580,1549416180,1.14071,1.14012,-0.76,110.0,BUY,signal_opposite
EURUSD,1549416180,1549419900,1.14012,1.14038,-0.38,62.0,SELL,signal_opposite
EURUSD,1549419900,1549424400,1.14038,1.13977,-0.73,75.0,BUY,signal_opposite
EURUSD,1549424400,1549442460,1.13977,1.13928,0.37,301.0,SELL,signal_opposite
EURUSD,1549442460,1549451100,1.13928,1.13908,-0.32,144.0,BUY,signal_opposite
EURUSD,1549451100,1549456200,1.13908,1.13898,-0.02,85.0,SELL,signal_opposite
EURUSD,1549456200,1549461660,1.13898,1.13833,-0.77,91.0,BUY,signal_opposite
EURUSD,1549461660,1549486020,1.13833,1.13676,1.45,406.0,SELL,signal_opposite
EURUSD,1549486020,1549489200,1.13676,1.13636,-0.52,53.0,BUY,signal_opposite
EURUSD,1549489200,1549493940,1.13636,1.13667,-0.43,79.0,SELL,signal_opposite
EURUSD,1549493940,1549497480,1.13667,1.13651,-0.28,59.0,BUY,signal_opposite
EURUSD,1549497480,1549515480,1.13651,1.13606,0.28,300.0,SELL,signal_opposite
EURUSD,1549515480,1549522980,1.13606,1.13552,-0.66,125.0,BUY,signal_opposite
EURUSD,1549522980,1549529640,1.13552,1.13559,-0.19,111.0,SELL,signal_opposite
EURUSD,1549529640,1549530480,1.13559,1.13443,-1.28,14.0,BUY,signal_opposite
EURUSD,1549530480,1549542660,1.13443,1.13359,0.72,203.0,SELL,signal_opposite
EURUSD,1549542660,1549545900,1.13359,1.13381,0.1,54.0,BUY,signal_opposite
EURUSD,1549545900,1549548780,1.13381,1.13453,-0.84,48.0,SELL,signal_opposite
EURUSD,1549548780,1549566540,1.13453,1.13489,0.24,296.0,BUY,signal_opposite
EURUSD,1549566540,1549578060,1.13489,1.13431,0.46,192.0,SELL,signal_opposite
EURUSD,1549578060,1549603380,1.13431,1.13383,-0.65,422.0,BUY,signal_opposite
EURUSD,1549603380,1549609380,1.13383,1.1341,-0.39,100.0,SELL,signal_opposite
